"Visit your First Year Dorm", "Remember all those great times, when you didnít need to worry about getting a job.  Go visit your dorm and drop off a gift or piece of advice."
"Attend an A Capella Concert", "Did you know Pitch Perfect is based off of three real A Capella groups including the Hullabahoos?"
"Study in the Dome Room", "They said it should be completed by graduationÖ Good luck with this one."
"Go Wine Tasting", "There are tons of wineries around Charlottesville. Grab some friends and check them out, but make sure to have a sober driver."
"Pick Apples at Carterís Mountain", "After you finish, try some of their apple cider and freshly made donuts.  They are to die for."
"Take a Historical Tour of Grounds", "UVA has a ton of fascinating history behind it.  Go spend an hour on the lawn learning about this unique story."
"Enjoy the Downtown Farmerís Market", "Each Saturday morning, tons of food stands arrive at the Downtown Mall to show you their unique take on different tastes."
"Chill in the Gardens", "Each Garden has a unique style to it.  Check them out ñ there are 10, pick your favorite."
"Jump on Ruffner Bridge", "This bridge was made by an Engineer from VT. You better test the structural integrity.  Grab a few friends and jump three times, then wait."
"Climb O-Hill", "And I mean climb the hill to the top, not just to Kellogg. This is a great nature hike and a good workout too."
"Order Delivery to Clemons", "Next time you are doing an all-nighter, order some food to help keep you awake.  Little Johnís doesnít deliver past 12, but they can be bribed."
"Attend an Event at JPJ", "Concerts and performers come by every year to our basketball stadium.  Check one of these fun events out!"
"Sled anywhere on Grounds", "Personal favorites include the Rotunda steps and under McCormick bridge, but next time it snows grab a sled, or a cardboard box, and have a blast."
"Attend Final Fridays at the Art Museum", "Did you know we have our own art museum, right there on Rugby Road? You need to check this event out!"
"Go Steam Tunneling", "This is not a school sanctioned tradition, so I warn you ñ be careful.  There is some really cool graffiti down there, but donít get lost"
"See a Show at the Paramount", "Another great venue that we have so close to our University.  Take advantage of the big names that come each year."
"Eat Spudnuts", "Do it. Enough said."
"Experience Lighting of the Lawn", "This event brings thousands of the University together to enjoy the end of the first semester and an awesome lightshow as well."
"Eat at Christianís", "This late night pizza spot is great to end a night on the corner.  I suggest their tortellini slice."
"Play Broomball", "Go to the ice skating rink and play this intense version of hockey. You use brooms, and shoes."
"Eat Dumplings on the Corner", "Marco and Lucaís or Got Dumplings.  Whatís your preference?"
"Visit the Special Collections Library", "Did you know we have one of the original drafts of the Declaration of Independence?"
"Pull an All-Nighter in Clemons", "Though this might not be the most fun item on the list, it is a staple for the UVA experience."
"Eat Breakfast at Pigeon Hole", "This quaint little stop on the corner makes some mean eggs.  It is small, so be prepared to wait."
"Go to Drag Bingo", "Who doesnít like Bingo? And this event brings lots of different communities of UVA together."
"Watch a Movie on the Lawn", "Grab some blankets and pull up your roommateís brotherís exís Netflix account that you have no shame you arenít paying for."
"Join the Alumni Association", "Itís free while you are a student and you get lots of deals and free things, so why not?"
"See the Sunrise on the Lawn", "Another beautiful morning can be spent right here on our central grounds as you watch the sun rise over the Academical Village."
"Relax in the AFC Hot Tub", "It is the biggest hot tub east of the Mississippi River, FYI. And they stream movies."
"Participate in a 5K", "There isnít a chance you have walked across Grounds and not been handed a flyer for one of these.  Actually do one!"
"Play Bocce on the Lawn", "Want to feel even more pretentious.  Grab some Bocce balls and start a game.  Or better ñ Croquet."
"See Tom Deluca Perform", "Every year for fall orientation, this hypnotist amazes the crowds.  Get there early and be loud if you want to be one of his victims."
"Eat at Archís Ice Cream", "Try the gooey brownie.  Seriously."
"Check out a Book from the Library", "We have 17 libraries and 6 million books.  Iím sure at least one of them is interesting."
"Trick-or-Treat on the Lawn", "Come help as UVA opens its doors to the Charlottesville community and hundreds of locals trick-or-treat on the lawn. What is your favorite costume?"
"Play an IM Sport", "Flag Football, Ultimate Frisbee, Innertube Waterpolo, etc.  Grab some friends and see if you can be the champion."
"Go to the Virginia Film Festival", "Tons of movies to choose from, and they are all free!"
"Tailgate on the Lawn", "Guys in Ties, Girls in Pearls, and tons of rowdy students preparing for a football game on the Lawn!"
"Ride the Trolley", "This free trolley goes from UVA to the Downtown Mall. Complete this in conjunction with another item on the list."
"Attend a Concert in Old Cabell", "Our music department is very impressive.  Go see a performance in this beautiful space."
"Get a Hug from Miss Kathy", "Literally the nicest person you will ever meet. Let her make your day."
"See the River on the lawn", "Lay down backwards on the steps and tilt your head back.  It may take a while to notice but once you see it you will know."
"Hop around at Jump CVille", "This building is filled entirely with trampolines.  Might be meant for kids, but we are still kids at heart."
"Half-price Thursday at IHOP", "Yes, IHOP gives you half off as a student if you go on Thursday.  You need to order a beverage though."
"Visit Carrís Hill", "This is where Teresa Sullivan and the presidents of UVAís past have all lived. She may give you ice cream."
"Sing the Good Ole Song", "If you havenít done this yet, are you really even a student at the University of Virginia?"
"Study in the McGregor Room", "Commonly referred to as the Harry Potter Room, this dimly lit study space is perfect to catch up on a much needed nap."
"Rent a Movie from Clemons", "The third floor is home to much of our media studies material. They have a vast DVD collection."
"Get Sweaty at Hot Yoga", "Doing Yoga is fun, but doing it in 100 plus degree temperatures is great! Check this out downtown."
"Tell a Secret at the Whispering Wall", "Right by Newcomb Hall is a large, curved bench.  Whisper secrets to a friend standing on the other side."
"Read a book in the Amphitheater", "First, reading books is good to do.  Second, this is a cool area on Grounds, so why not combine the two."
"High-five Cavman", "Meet our mascot on any game day.  Can you figure out who wears the suit?"
"High-five Dean Groves", "Our Dean of Students has style.  Ask him how many bow ties he has in his collection."
"Experience Late Night Little Johnís", "Eat one of these delicious sandwiches.  Try the Chipotle Chicken or Wild Turkey."
"Watch a Lacrosse Game", "Our Lacrosse team is incredibly talented. Go support them at Klockner Stadium."
"Take a Ride down Skyline Drive", "This scenic road is full of amazing views of the surrounding mountains and nature of Charlottesville."
"Go Saki-bombing at Kuma", "Or, if you are feeling really brave, take on the Kuma Bomb.  This $25 drink is free if you can finish in 23 seconds."
"Order a Crepe from The Flat", "This hole in the wall serves delicious crepes which can be eaten for a meal or desert. Cash only."
"Attend Trivia Night", "Go to Mellow Mushroom on any Wednesday night to play trivia against a bustling crowd. Go early to get a seat."
"Eat at Poeís", "No. 3, Eddyís, Poeís, the Jabberwock, whatever the place wants to call itself, go try their chicken sandwich."
"See a Probate", "These events donít happen as frequently as others, but when one is advertised, make sure to attend.  They are really cool to see."
"Visit Ash Lawn", "This venue is a great destination for formal events, but it is also a nice place to visit any day of the week."
"Recycle", "Because we care about the environment."
"Take an Exam Outside", "Take advantage of the Community of Trust and the Honor System and take one of your exams outdoors."
"Laugh at the Yellow Journal", "This satirical publication comes out a couple times each year and is full of humor about our student body."
"Engage in Dialogue", "Whether you are involved in Sustained Dialogue or not, having insightful conversations around Grounds is important for our community."
"Slackline on the Lawn", "People will constantly throw up a line between the trees on the lawn.  Give it a try. They have an email list if you want updates on when to go."
"Meet Someone New", "Even if this is your last year at this school, try to find someone you donít know and make a new friend."
"Go for a Run", "Take an afternoon, put on some running clothes, and take a jog around Grounds. Explore the areas you are less familiar."
"Jump in Dell Pond", "On second thought, donít.  Please donít do this. Seriously, you will regret it."
"Call a Parent or Family Member", "Remember who cared for you the past 18 years before you left for college and tell them that you love them. Then hope they send you that care package for making an effort."
"Read the Cavalier Daily", "Check out the journalistic skills of your peers and stay up to date with the topics in our community."
"Volunteer through Madison House", "Madison House has a variety of amazing volunteering opportunities ñ from helping kids to spending time with the elderly."
"Give Back to Charlottesville", "Remember how great a time this city has given you and give back to the community in some way."
"Indulge at Pint Night", "Head to Mellow on any Tuesday night after 8pm for $2.50 pints.  They always have 39 different beers on tap, and finishing them all gets you a special mug."
"Go to an International Party", "These can get WILD. You wonít experience a late night out until you hit one of these parties up."
"Check out the Music Library", "It doesnít matter what major, anyone can enjoy the study spaces in the music library."
"Eat a Pancake for Parkinsonís", "Help a great cause and enjoy a delicious breakfast pastry on the South end of the Lawn."
"Attend the Last Lecture Series", "Hear some of the greatest lectures given by renowned professors.  It will be memorable."
"Pay it Forward", "Help out an underclassman.  Remember anything someone did for you and help make someone elseís experience here great!"
"Go on a Real Date", "This one might be one of the hardest on the list, but there is so many options so find that special person and take them out."
